,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
196,2012_114,2012,114,8/23/2016,S,N,17.7,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
197,2012_114,2012,114,8/23/2016,S,N,17.5,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
198,2012_114,2012,114,8/23/2016,S,N,17.2,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
199,2012_114,2012,114,8/23/2016,S,N,18,LAOC,6,NA,2,post,n,NA,,1,1,333.3333333
200,2012_114,2012,114,8/23/2016,S,N,18,LAOC,6,NA,2,post,n,NA,,1,1,333.3333333
201,2012_114,2012,114,8/23/2016,S,N,18.3,LAOC,8,NA,2,post,n,NA,,1,1,333.3333333
202,2012_114,2012,114,8/23/2016,S,N,18.3,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
203,2012_114,2012,114,8/23/2016,S,N,18.3,LAOC,7,NA,2,post,n,NA,,1,1,333.3333333
204,2012_114,2012,114,8/23/2016,S,N,18.6,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
205,2012_114,2012,114,8/23/2016,S,N,18.7,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
206,2012_114,2012,114,8/23/2016,S,N,19.1,LAOC,5,NA,2,post ,n,NA,,1,1,333.3333333
207,2012_114,2012,114,8/23/2016,S,N,19.4,LAOC,4,NA,1,post ,n,NA,,1,1,333.3333333
208,2012_114,2012,114,8/23/2016,S,s,0.7,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
209,2012_114,2012,114,8/23/2016,S,s,0.1,PICO,5,NA,1,post ,n,NA,,1,1,333.3333333
210,2012_114,2012,114,8/23/2016,S,N,25,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
211,2012_114,2012,114,8/23/2016,S,N,25,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
212,2012_114,2012,114,8/23/2016,S,N,25.1,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
213,2012_114,2012,114,8/23/2016,S,N,25.1,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
214,2012_114,2012,114,8/23/2016,S,N,25.3,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
215,2012_114,2012,114,8/23/2016,S,N,25.6,LAOC,6,NA,1,post,n,NA,,1,1,333.3333333
216,2012_114,2012,114,8/23/2016,S,N,25.6,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
217,2012_114,2012,114,8/23/2016,S,N,25.6,LAOC,6,NA,1,post,n,NA,,1,1,333.3333333
218,2012_114,2012,114,8/23/2016,S,N,26.5,LAOC,15,NA,2,post,n,NA,,1,1,333.3333333
219,2012_114,2012,114,8/23/2016,S,N,26.7,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
220,2012_114,2012,114,8/23/2016,S,N,26.8,LAOC,10,NA,2,post,n,NA,,1,1,333.3333333
221,2012_114,2012,114,8/23/2016,S,N,27,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
222,2012_114,2012,114,8/23/2016,S,N,27.2,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
223,2012_114,2012,114,8/23/2016,S,N,27.3,LAOC,4,NA,1,post ,n,NA,,1,1,333.3333333
224,2012_114,2012,114,8/23/2016,S,N,27.4,PICO,5,NA,1,post ,n,NA,,1,1,333.3333333
225,2012_114,2012,114,8/23/2016,S,N,27.5,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
226,2012_114,2012,114,8/23/2016,S,N,27.6,LAOC,4,NA,1,post ,n,NA,,1,1,333.3333333
227,2012_114,2012,114,8/23/2016,S,N,27.6,LAOC,4,NA,1,post ,N,NA,,1,1,333.3333333
228,2012_114,2012,114,8/23/2016,S,N,27.6,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
229,2012_114,2012,114,8/23/2016,S,N,27.9,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
230,2012_114,2012,114,8/23/2016,S,N,27.9,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
231,2012_114,2012,114,8/23/2016,S,N,27.9,LAOC,4,NA,1,post ,n,NA,,1,1,333.3333333
232,2012_114,2012,114,8/23/2016,S,N,28,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
