SortKey,Fire_year,Plot_#,Yr_Plot,Subplot_NE/SW,Date,Shrub_1_species,Shrub_1_%cover,Shrub_2_species,Shrub_2_%cover,Shrub_3_species,Shrub_3_%cover,Total_shrub_%cover,Shrubs_Mean_height_m,Shrubs_Max_height_m,Herbs_%cover,Graminoid_%cover,
376,2014,190,2014_190,E,6/28/2018,Salix,15,SPDE,15,CEVE,5,35,0.5,1.3,40,45,
377,2014,190,2014_190,S,6/28/2018,Salix,30,CEVE,5,,,35,0.5,1.1,55,35,
378,2014,190,2014_190,W,6/28/2018,CEVE,35,Salix,7,,,42,0.5,0.8,40,60,
27,2012,212,2012_212,,8/25/2016,RIVI,4,CHUM,1,,,5,0,0.5,6,7,
28,2012,212,2012_212,,8/25/2016,RIVI,10,SACA,1,Salix ,1,12,0.5,0.9,15,1,
379,2014,217,2014_217,S,6/28/2018,Salix,70,,,,,70,0.5,0.75,10,0,
380,2014,217,2014_217,W,6/28/2018,Salix,85,,,,,85,0.5,0.95,15,0,
381,2014,217,2014_217,N,6/28/2018,Salix,80,,,,,80,0.5,0.9,0,0,
382,2014,217,2014_217,E,6/28/2018,Salix,80,,,,,80,0.5,0.95,15,0,
29,2012,227,2012_227,SW,8/16/2016,Salix,5,Ribes,3,HODI,1,9,0.5,1.3,50,2,
30,2012,227,2012_227,NE,8/16/2016,Ribes,2,,,,,2,0.5,0.4,3,8,
31,2012,232,2012_232,NE,8/16/2016,Salix,7,RILA,1,Ribes ,4,12,0.5,0.7,45,30,
32,2012,232,2012_232,SW,8/16/2016,Ribes,40,Salix,5,SACA,1,46,0.5,0.9,30,2,
33,2012,239,2012_239,SW,9/15/2016,none,0,,,,,0,0,0,45,35,
34,2012,239,2012_239,NE,9/15/2016,PAMY,1,,,,,1,0,0.2,35,20,
35,2012,242,2012_242,SW,9/12/2016,PAMY,10,VASC,8,,,18,0,0.5,35,1,
36,2012,242,2012_242,NE,9/12/2016,VASC,10,PAMY,4,,,14,0,0.4,25,40,
291,2014,250,2014_250,N,6/16/2018,SYAL,10,RILA,3,,,13,0.5,0.95,50,4,
292,2014,250,2014_250,E,6/16/2018,SYAL,9,,,,,9,0.5,0.8,80,5,
293,2014,250,2014_250,S,6/16/2018,SYAL,6,,,,,6,1,1,25,80,
294,2014,250,2014_250,W,6/16/2018,SYAL,15,,,,,15,0.5,0.7,20,75,
363,2014,254,2014_254,N,6/19/2018,AMAL,1,CEVE,5,RICE,3,9,0.5,0.5,25,40,
364,2014,254,2014_254,E,6/19/2018,Salix,45,AMAL,25,CEVE,5,70,1,2.4,40,60,
365,2014,254,2014_254,S,6/19/2018,Salix,2,SYAL,1,RICE,1,4,0.5,0.45,50,75,
366,2014,254,2014_254,W,6/19/2018,none,0,,,,,0,0,0,35,65,
243,2014,259,2014_259,W,6/6/2018,RULE,30,SARA,20,RICE,10,70,0.7,1,35,15,
244,2014,259,2014_259,N,6/6/2018,AMAL,25,SARA,25,BEAQ,15,65,1.5,2,15,10,
245,2014,259,2014_259,E,6/6/2018,none,0,,,,,0,0,0,5,5,
246,2014,259,2014_259,S,6/6/2018,SARA,25,AMAL,20,,,45,1.6,2.5,40,50,
359,2014,260,2014_260,N,6/19/2018,none,0,,,,,0,0,0,30,0,
360,2014,260,2014_260,E,6/19/2018,CEVE,9,,,,,9,0.5,0.6,30,15,
361,2014,260,2014_260,S,6/19/2018,none,0,,,,,0,0,0,45,15,
362,2014,260,2014_260,W,6/19/2018,none,0,,,,,0,0,0,50,8,
355,2014,264,2014_264,E,6/19/2018,CEVE,30,RICE,5,,,35,0.5,0.7,75,20,
356,2014,264,2014_264,S,6/19/2018,CEVE,40,,,,,40,0.5,0.5,70,15,
357,2014,264,2014_264,W,6/19/2018,CEVE,50,,,,,50,0.5,0.7,20,20,
358,2014,264,2014_264,N,6/19/2018,CEVE,50,,,,,0,0.5,0.6,30,22,
351,2014,270,2014_270,N,6/19/2018,CEVE,4,,,,,4,0.25,0.25,35,6,
352,2014,270,2014_270,E,6/19/2018,CEVE,5,,,,,5,0.3,0.3,50,1,
353,2014,270,2014_270,S,6/19/2018,CEVE,55,Salix,12,,,67,1,1.6,30,0,
354,2014,270,2014_270,W,6/19/2018,Salix,10,CEVE,4,,,14,1,1.4,60,10,
37,2012,277,2012_277,SW,8/24/2016,none,0,,,,,0,0,0,5,20,
38,2012,277,2012_277,SW,8/24/2016,PRPE,1,,,,,1,0,0.2,3,60,
227,2014,285,2014_285,S,6/5/2018,RULE,1,CEVE,1,,,2,0.5,0.2,60,10,
228,2014,285,2014_285,W,6/5/2018,ROGY,8,,,,,8,0.5,0.5,75,20,
229,2014,285,2014_285,N,6/5/2018,RULE,0.1,SPBE,1,PRPE,3,4,0.5,0.9,20,25,
230,2014,285,2014_285,E,6/5/2018,ROGY,2,,,,,2,0.5,0.6,20,40,
41,2012,286,2012_286,NE,9/13/2016,none,0,,,,,0,0,0,0,2,
42,2012,286,2012_286,SW,9/13/2016,PAMY,2,CEVE,1,,,3,0,0.3,3,15,
155,2012,287,2012_287,NE,10/24/2017,CEVE,5,Salix,4,,,9,0.5,1.6,25,45,
156,2012,287,2012_287,SW,10/24/2017,Salix,10,SPBE,3,CEVE,1,14,0.5,0.7,10,20,
153,2012,294,2012_294,NE,10/24/2017,ACGL,20,SYAL,5,HODI,3,30,1.5,3,20,15,
154,2012,294,2012_294,SW,10/24/2017,SYAL,25,Salix,15,HODI,10,50,0.5,1,30,1,
